Palavra: ��#�uidx_fonte.txtmdx_fonte.txt, Posição: 3
Palavra: ax_fonte.txtg_fonte.txtefonte.txtnonte.txttnte.txtete.txt, Posição: 10
Palavra: pe.txta.txtttxtoxtgt, Posição: 16
Palavra: nico, Posição: 22
Palavra: bact, Posição: 34
Palavra: parasita, Posição: 57
Palavra: fungo, Posição: 66
Palavra: pode, Posição: 75
Palavra: causar, Posição: 82
Palavra: doen, Posição: 87
Palavra: corpo, Posição: 99
Palavra: cada, Posição: 105
Palavra: agente, Posição: 112
Palavra: patog, Posição: 118
Palavra: nico, Posição: 124
Palavra: constitu, Posição: 136
Palavra: rias, Posição: 152
Palavra: subpartes, Posição: 162
Palavra: normalmente, Posição: 175
Palavra: exclusivas, Posição: 186
Palavra: desse, Posição: 192
Palavra: agente, Posição: 199
Palavra: patog, Posição: 205
Palavra: nico, Posição: 211
Palavra: espec, Posição: 217
Palavra: fico, Posição: 223
Palavra: doen, Posição: 233
Palavra: causa, Posição: 250
Palavra: subparte, Posição: 262
Palavra: agente, Posição: 275
Palavra: patog, Posição: 281
Palavra: nico, Posição: 287
Palavra: causa, Posição: 297
Palavra: forma, Posição: 305
Palavra: anticorpos, Posição: 324
Palavra: chamado, Posição: 335
Palavra: antig, Posição: 344
Palavra: anticorpos, Posição: 364
Palavra: produzidos, Posição: 375
Palavra: resposta, Posição: 387
Palavra: antig, Posição: 396
Palavra: agente, Posição: 411
Palavra: patog, Posição: 417
Palavra: nico, Posição: 423
Palavra: parte, Posição: 438
Palavra: importante, Posição: 449
Palavra: sistema, Posição: 460
Palavra: imunit, Posição: 467
Palavra: anticorpos, Posição: 487
Palavra: podem, Posição: 493
Palavra: considerados, Posição: 510
Palavra: soldados, Posição: 522
Palavra: sistema, Posição: 533
Palavra: defesa, Posição: 543
Palavra: nosso, Posição: 552
Palavra: corpo, Posição: 558
Palavra: cada, Posição: 564
Palavra: anticorpo, Posição: 574
Palavra: soldado, Posição: 586
Palavra: nosso, Posição: 596
Palavra: sistema, Posição: 604
Palavra: treinado, Posição: 619
Palavra: para, Posição: 624
Palavra: reconhecer, Posição: 635
Palavra: antig, Posição: 644
Palavra: espec, Posição: 655
Palavra: fico, Posição: 661
Palavra: temos, Posição: 673
Palavra: milhares, Posição: 682
Palavra: anticorpos, Posição: 696
Palavra: diferentes, Posição: 707
Palavra: nosso, Posição: 716
Palavra: organismo, Posição: 726
Palavra: quando, Posição: 734
Palavra: corpo, Posição: 742
Palavra: humano, Posição: 749
Palavra: fica, Posição: 754
Palavra: exposto, Posição: 762
Palavra: antig, Posição: 773
Palavra: pela, Posição: 783
Palavra: primeira, Posição: 792
Palavra: sistema, Posição: 807
Palavra: imunit, Posição: 814
Palavra: leva, Posição: 824
Palavra: tempo, Posição: 830
Palavra: responder, Posição: 842
Palavra: produzir, Posição: 855
Palavra: anticorpos, Posição: 866
Palavra: espec, Posição: 872
Palavra: ficos, Posição: 879
Palavra: para, Posição: 884
Palavra: esse, Posição: 889
Palavra: antig, Posição: 895
Palavra: entretanto, Posição: 919
Palavra: pessoa, Posição: 929
Palavra: suscet, Posição: 942
Palavra: pode, Posição: 954
Palavra: adoecer, Posição: 962
Palavra: produzidos, Posição: 985
Palavra: anticorpos, Posição: 999
Palavra: espec, Posição: 1005
Palavra: ficos, Posição: 1012
Palavra: antig, Posição: 1021
Palavra: eles, Posição: 1032
Palavra: trabalham, Posição: 1042
Palavra: resto, Posição: 1054
Palavra: sistema, Posição: 1065
Palavra: imunit, Posição: 1072
Palavra: para, Posição: 1082
Palavra: destruir, Posição: 1091
Palavra: agente, Posição: 1100
Palavra: patog, Posição: 1106
Palavra: nico, Posição: 1112
Palavra: derrotar, Posição: 1123
Palavra: doen, Posição: 1130
Palavra: anticorpos, Posição: 1148
Palavra: agente, Posição: 1161
Palavra: patog, Posição: 1167
Palavra: nico, Posição: 1173
Palavra: normalmente, Posição: 1186
Palavra: protegem, Posição: 1201
Palavra: contra, Posição: 1208
Palavra: outro, Posição: 1214
Palavra: agente, Posição: 1221
Palavra: patog, Posição: 1227
Palavra: nico, Posição: 1233
